飛	http://img.zdic.net/zy/chuwenzi/53_E675.svg
食	http://img.zdic.net/zy/jiaguwen/42_E75E.svg
首	http://img.zdic.net/zy/jiaguwen/44_E2EA.svg
香	http://img.zdic.net/zy/jiaguwen/45_E1D4.svg
馬	http://img.zdic.net/zy/jiaguwen/43_E372.svg
骨	http://img.zdic.net/zy/jiaguwen/42_E22A.svg
高	http://img.zdic.net/zy/jiaguwen/42_E876.svg
髟	http://img.zdic.net/zy/jiaguwen/45_EC4C.svg
鬥	http://img.zdic.net/zy/jiaguwen/41_EE88.svg
鬯	http://img.zdic.net/zy/jiaguwen/42_E739.svg
鬲	http://img.zdic.net/zy/jiaguwen/41_EDC7.svg
鬼	http://img.zdic.net/zy/jiaguwen/43_E19D.svg
魚	http://img.zdic.net/zy/jiaguwen/43_EB01.svg
鳥	http://img.zdic.net/zy/jiaguwen/42_E075.svg
鹵	http://img.zdic.net/zy/jiaguwen/45_EFDA.svg
鹿	http://img.zdic.net/zy/jiaguwen/43_E3E6.svg
麥	http://img.zdic.net/zy/jiaguwen/42_E99E.svg
麻	http://img.zdic.net/zy/jinwen/32_F36B.svg
黃	http://img.zdic.net/zy/jiaguwen/43_E6D0.svg
黍	http://img.zdic.net/zy/jiaguwen/42_F155.svg
黑	http://img.zdic.net/zy/jiaguwen/43_F2F3.svg
黹	http://img.zdic.net/zy/jiaguwen/45_F48B.svg
黽	http://img.zdic.net/zy/jiaguwen/43_F1F5.svg
鼎	http://img.zdic.net/zy/jiaguwen/42_F06B.svg
鼓	http://img.zdic.net/zy/jiaguwen/42_E51A.svg
鼠	http://img.zdic.net/zy/jiaguwen/45_EE23.svg
鼻	http://img.zdic.net/zy/jiaguwen/41_F554.svg
斉	http://img.zdic.net/zy/jiaguwen/42_F013.svg
歯	http://img.zdic.net/zy/jiaguwen/41_EAFE.svg
龍	http://img.zdic.net/zy/jiaguwen/43_EB46.svg
亀	
龠	http://img.zdic.net/zy/jiaguwen/41_EB3A.svg
行	http://img.zdic.net/zy/jiaguwen/41_EA81.svg
非	http://img.zdic.net/zy/jiaguwen/45_EBFF.svg
