毋	<div class=tone2>wú</div>, <div class=tone2>móu</div>	wu2 mou2	mother, do not	80	毌	[sound:cmn-wu2.mp3]	<img src="毋_img_ancient.svg">	<img src="毋_stroke_order.svg">	毋, 海, 每, 毒, 姆
比	<div class=tone3>bǐ</div>, <div class=tone4>bì</div>, <div class=tone2>pí</div>, <div class=tone3>pǐ</div>	bi3 bi4 pi2 pi3	compare, compete	81		[sound:cmn-bi3.mp3]	<img src="比_img_ancient.svg">	<img src="比_stroke_order.svg">	比, 皆, 批, 毕, 昆
毛	<div class=tone2>máo</div>, <div class=tone4>mào</div>	mao2 mao4	fur, hair	82		[sound:cmn-mao2.mp3]	<img src="毛_img_ancient.svg">	<img src="毛_stroke_order.svg">	毛, 笔, 毫, 尾, 耗
氏	<div class=tone4>shì</div>, <div class=tone1>zhī</div>, <div class=tone1>jīng</div>	shi4 zhi1 jing1	clan	83		[sound:cmn-shi4.mp3]	<img src="氏_img_ancient.svg">	<img src="氏_stroke_order.svg">	底, 纸, 昏, 氐, 芪
气	<div class=tone4>qì</div>	qi4	steam, breath	84		[sound:cmn-qi4.mp3]	<img src="气_img_ancient.svg">	<img src="气_stroke_order.svg">	气, 汽, 氧, 氛, 氢
水	<div class=tone3>shuǐ</div>	shui3	water	85	氵	[sound:cmn-shui3.mp3]	<img src="水_img_ancient.svg">	<img src="水_stroke_order.svg">	水, 冰, 泉, 尿, 浆
火	<div class=tone3>huǒ</div>, <div class=tone1>huō</div>	huo3 huo1	fire	86	灬	[sound:cmn-huo3.mp3]	<img src="火_img_ancient.svg">	<img src="火_stroke_order.svg">	火, 灵, 秋, 灭, 烟
爪	<div class=tone3>zhuǎ</div>, <div class=tone3>zhǎo</div>	zhua3 zhao3	claw, nail, talon	87	爫	[sound:cmn-zhua3.mp3]		<img src="爪_stroke_order.svg">	抓, 爬, 笊, 釽, 受
父	<div class=tone4>fù</div>, <div class=tone3>fǔ</div>	fu4 fu3	father	88		[sound:cmn-fu4.mp3]	<img src="父_img_ancient.svg">	<img src="父_stroke_order.svg">	父, 爷, 爸, 爹, 斧
爻	<div class=tone2>yáo</div>, <div class=tone4>xiào</div>	yao2 xiao4	mix, twine, cross	89		[sound:cmn-yao2.mp3]	<img src="爻_img_ancient.svg">	<img src="爻_stroke_order.svg">	网, 驳, 覐
丬	<div class=tone2>qiáng</div>	qiang2	split wood	90	爿	[sound:cmn-qiang2.mp3]		<img src="丬_stroke_order.svg">	藏, 戕, 将, 状, 壮
片	<div class=tone4>piàn</div>, <div class=tone1>piān</div>, <div class=tone4>pàn</div>	pian4 pian1 pan4	slice	91		[sound:cmn-pian4.mp3]		<img src="片_stroke_order.svg">	片, 版, 牌, 牒, 牍
牙	<div class=tone2>yá</div>, <div class=tone4>yà</div>	ya2 ya4	fang	92		[sound:cmn-ya2.mp3]	<img src="牙_img_ancient.svg">	<img src="牙_stroke_order.svg">	穿, 呀, 雅, 邪, 讶
牛	<div class=tone2>níu</div>	niu2	cow	93	牜	[sound:cmn-niu2.mp3]	<img src="牛_img_ancient.svg">	<img src="牛_stroke_order.svg">	物, 特, 件, 牧, 牢
犬	<div class=tone3>quǎn</div>	quan3	dog	94	犭	[sound:cmn-quan3.mp3]	<img src="犬_img_ancient.svg">	<img src="犬_stroke_order.svg">	然, 器, 突, 状, 献
玄	<div class=tone2>xuán</div>, <div class=tone4>xuàn</div>	xuan2 xuan4	dark, profound	95		[sound:cmn-xuan2.mp3]	<img src="玄_img_ancient.svg">	<img src="玄_stroke_order.svg">	玄, 弦, 畜, 眩, 舷
玉	<div class=tone4>yù</div>	yu4	jade (king)	96	玊, 王	[sound:cmn-yu4.mp3]	<img src="玉_img_ancient.svg">	<img src="玉_stroke_order.svg">	国, 宝, 璧, 玺, 钰
瓜	<div class=tone1>guā</div>	gua1	melon	97		[sound:cmn-gua1.mp3]	<img src="瓜_img_ancient.svg">	<img src="瓜_stroke_order.svg">	孤, 狐, 弧, 瓣, 呱
瓦	<div class=tone3>wǎ</div>, <div class=tone4>wà</div>	wa3 wa4	tile	98		[sound:cmn-wa3.mp3]	<img src="瓦_img_ancient.svg">	<img src="瓦_stroke_order.svg">	瓦, 瓶, 瓷, 甄, 瓮
甘	<div class=tone1>gān</div>	gan1	sweet	99		[sound:cmn-gan1.mp3]	<img src="甘_img_ancient.svg">	<img src="甘_stroke_order.svg">	其, 甚, 某, 甜, 酣
生	<div class=tone1>shēng</div>	sheng1	life	100		[sound:cmn-sheng1.mp3]	<img src="生_img_ancient.svg">	<img src="生_stroke_order.svg">	生, 性, 星, 胜, 姓
用	<div class=tone4>yòng</div>	yong4	use	101	甩	[sound:cmn-yong4.mp3]	<img src="用_img_ancient.svg">	<img src="用_stroke_order.svg">	用, 角, 拥, 佣, 甩
曱	<div class=tone1>yuē</div>	yue1	field	102	田, 由, 甲, 申, 甴	[sound:cmn-yue1.mp3]		<img src="曱_stroke_order.svg">	
疋	<div class=tone3>pǐ</div>, <div class=tone1>pī</div>, <div class=tone1>shū</div>, <div class=tone3>yǎ</div>	pi3 pi1 shu1 ya3	bolt of cloth	103		[sound:cmn-pi3.mp3]	<img src="疋_img_ancient.svg">	<img src="疋_stroke_order.svg">	疑, 楚, 蛋, 胥, 疏
疒	<div class=tone2>chuáng</div>	chuang2	sickness	104		[sound:cmn-chuang2.mp3]	<img src="疒_img_ancient.svg">	<img src="疒_stroke_order.svg">	病, 痛, 疾, 疗, 症
癶	<div class=tone1>bō</div>	bo1	footsteps	105		[sound:cmn-bo1.mp3]	<img src="癶_img_ancient.svg">	<img src="癶_stroke_order.svg">	登, 癸, 凳
白	<div class=tone2>bái</div>, <div class=tone2>bó</div>	bai2 bo2	white	106		[sound:cmn-bai2.mp3]	<img src="白_img_ancient.svg">	<img src="白_stroke_order.svg">	的, 百, 皇, 皆, 怕
皮	<div class=tone2>pí</div>	pi2	skin	107		[sound:cmn-pi2.mp3]	<img src="皮_img_ancient.svg">	<img src="皮_stroke_order.svg">	被, 破, 波, 彼, 颇
皿	<div class=tone3>mǐn</div>, <div class=tone3>mǐng</div>	min3 ming3	dish	108		[sound:cmn-min3.mp3]	<img src="皿_img_ancient.svg">	<img src="皿_stroke_order.svg">	益, 监, 血, 盖, 盛
目	<div class=tone4>mù</div>	mu4	eye	109		[sound:cmn-mu4.mp3]	<img src="目_img_ancient.svg">	<img src="目_stroke_order.svg">	自, 着, 看, 相, 眼
矛	<div class=tone2>máo</div>	mao2	spear	110		[sound:cmn-mao2.mp3]	<img src="矛_img_ancient.svg">	<img src="矛_stroke_order.svg">	我, 成, 战, 找, 划
矢	<div class=tone3>shǐ</div>	shi3	arrow	111		[sound:cmn-shi3.mp3]	<img src="矢_img_ancient.svg">	<img src="矢_stroke_order.svg">	代, 式, 忒, 鸢, 甙
石	<div class=tone2>shí</div>, <div class=tone4>dàn</div>	shi2 dan4	stone	112		[sound:cmn-shi2.mp3]	<img src="石_img_ancient.svg">	<img src="石_stroke_order.svg">	石, 确, 破, 研, 础
示	<div class=tone4>shì</div>, <div class=tone1>qī</div>, <div class=tone4>zhì</div>, <div class=tone2>shí</div>	shi4 qi1 zhi4 shi2	sign	113	礻	[sound:cmn-shi4.mp3]	<img src="示_img_ancient.svg">	<img src="示_stroke_order.svg">	宗, 际, 标, 禁, 票
禸	<div class=tone2>róu</div>	rou2	track	114		[sound:cmn-rou2.mp3]	<img src="禸_img_ancient.svg">	<img src="禸_stroke_order.svg">	离, 禺, 禼
禾	<div class=tone2>hé</div>	he2	grain	115		[sound:cmn-he2.mp3]	<img src="禾_img_ancient.svg">	<img src="禾_stroke_order.svg">	和, 种, 利, 科, 程
穴	<div class=tone2>xué</div>, <div class=tone2>jué</div>, <div class=tone4>xuè</div>	xue2 jue2 xue4	cave	116		[sound:cmn-xue2.mp3]	<img src="穴_img_ancient.svg">	<img src="穴_stroke_order.svg">	空, 究, 突, 穿, 窗
立	<div class=tone4>lì</div>, <div class=tone4>wèi</div>	li4 wei4	stand, erect	117		[sound:cmn-li4.mp3]	<img src="立_img_ancient.svg">	<img src="立_stroke_order.svg">	部, 位, 产, 亲, 拉
竹	<div class=tone2>zhú</div>	zhu2	bamboo	118		[sound:cmn-zhu2.mp3]	<img src="竹_img_ancient.svg">	<img src="竹_stroke_order.svg">	竹, 等, 第, 管, 笑
米	<div class=tone3>mǐ</div>	mi3	rice	119		[sound:cmn-mi3.mp3]	<img src="米_img_ancient.svg">	<img src="米_stroke_order.svg">	数, 类, 精, 料, 粮
糸	<div class=tone4>mì</div>, <div class=tone1>sī</div>	mi4 si1	silk	120	糹, 纟	[sound:cmn-mi4.mp3]	<img src="糸_img_ancient.svg">	<img src="糸_stroke_order.svg">	系, 紧, 素, 索, 累
缶	<div class=tone3>fǒu</div>, <div class=tone4>guàn</div>	fou3 guan4	jar	121		[sound:cmn-fou3.mp3]	<img src="缶_img_ancient.svg">	<img src="缶_stroke_order.svg">	缺, 窑, 罐, 缸, 罄
网	<div class=tone3>wǎng</div>	wang3	net	122	罒, 罓	[sound:cmn-wang3.mp3]	<img src="网_img_ancient.svg">	<img src="网_stroke_order.svg">	网, 羀, 蛧, 罗, 置
羊	<div class=tone2>yáng</div>	yang2	sheep	123		[sound:cmn-yang2.mp3]	<img src="羊_img_ancient.svg">	<img src="羊_stroke_order.svg">	着, 样, 美, 群, 差
羽	<div class=tone3>yǔ</div>, <div class=tone4>hù</div>	yu3 hu4	feather	124		[sound:cmn-yu3.mp3]	<img src="羽_img_ancient.svg">	<img src="羽_stroke_order.svg">	翻, 翼, 翠, 翁, 扇
老	<div class=tone3>lǎo</div>	lao3	old	125	耂, 考	[sound:cmn-lao3.mp3]	<img src="老_img_ancient.svg">	<img src="老_stroke_order.svg">	老, 姥, 耆, 耄, 佬
而	<div class=tone2>ér</div>, <div class=tone2>néng</div>	er2 neng2	beard	126		[sound:cmn-er2.mp3]	<img src="而_img_ancient.svg">	<img src="而_stroke_order.svg">	而, 需, 耐, 耍, 斋
耒	<div class=tone3>lěi</div>	lei3	plow	127		[sound:cmn-lei3.mp3]	<img src="耒_img_ancient.svg">	<img src="耒_stroke_order.svg">	籍, 耕, 耗, 耙, 诔
耳	<div class=tone3>ěr</div>, <div class=tone2>réng</div>	er3 reng2	ear	128		[sound:cmn-er3.mp3]	<img src="耳_img_ancient.svg">	<img src="耳_stroke_order.svg">	最, 取, 联, 闻, 职
聿	<div class=tone4>yù</div>	yu4	brush	129	肀	[sound:cmn-yu4.mp3]	<img src="聿_img_ancient.svg">	<img src="聿_stroke_order.svg">	建, 律, 津, 肆, 肇
肉	<div class=tone4>ròu</div>, <div class=tone4>rù</div>	rou4 ru4	meat	130		[sound:cmn-rou4.mp3]	<img src="肉_img_ancient.svg">	<img src="肉_stroke_order.svg">	肉, 腐, 脔, 胬, 胔
臣	<div class=tone2>chén</div>	chen2	minister, official	131		[sound:cmn-chen2.mp3]	<img src="臣_img_ancient.svg">	<img src="臣_stroke_order.svg">	臣, 卧, 宦, 臧, 臨
自	<div class=tone4>zì</div>	zi4	self	132		[sound:cmn-zi4.mp3]	<img src="自_img_ancient.svg">	<img src="自_stroke_order.svg">	自, 首, 息, 咱, 鼻
至	<div class=tone4>zhì</div>, <div class=tone2>dié</div>	zhi4 die2	arrive	133		[sound:cmn-zhi4.mp3]	<img src="至_img_ancient.svg">	<img src="至_stroke_order.svg">	到, 致, 室, 屋, 侄
臼	<div class=tone4>jìu</div>	jiu4	mortar	134		[sound:cmn-jiu4.mp3]	<img src="臼_img_ancient.svg">	<img src="臼_stroke_order.svg">	陷, 鼠, 舅, 臾, 舀
舌	<div class=tone2>shé</div>, <div class=tone1>guā</div>	she2 gua1	tongue	135		[sound:cmn-she2.mp3]	<img src="舌_img_ancient.svg">	<img src="舌_stroke_order.svg">	话, 活, 敌, 乱, 适
舛	<div class=tone3>chuǎn</div>	chuan3	opposite	136		[sound:cmn-chuan3.mp3]	<img src="舛_img_ancient.svg">	<img src="舛_stroke_order.svg">	舞, 桀, 荈, 粦
