面	<div class=tone4>miàn</div>	face	176	靣	[sound:面_google_zh-cn.mp3]	<img src="面_img_ancient.svg">
革	<div class=tone2>gé</div>	leather, rawhide	177		[sound:革_google_zh-cn.mp3]	<img src="革_img_ancient.svg">
韋	<div class=tone2>wéi</div>	tanned leather	178	韦	[sound:韋_google_zh-cn.mp3]	<img src="韋_img_ancient.svg">
韭	<div class=tone3>jǐu</div>	leek	179		[sound:韭_google_zh-cn.mp3]	<img src="韭_img_ancient.svg">
音	<div class=tone1>yīn</div>	sound	180		[sound:音_google_zh-cn.mp3]	<img src="音_img_ancient.svg">
頁	<div class=tone4>yè</div>	leaf	181	页	[sound:頁_google_zh-cn.mp3]	<img src="頁_img_ancient.svg">
凬	<div class=tone1>fēng</div>	wind	182	風, 风	[sound:凬_google_zh-cn.mp3]	<img src="凬_img_ancient.svg">
飛	<div class=tone1>fēi</div>	fly	183		[sound:飛_google_zh-cn.mp3]	<img src="飛_img_ancient.svg">
食	<div class=tone2>shí</div>	eat, food	184	飠, 饣	[sound:食_google_zh-cn.mp3]	<img src="食_img_ancient.svg">
首	<div class=tone3>shǒu</div>	head	185		[sound:首_google_zh-cn.mp3]	<img src="首_img_ancient.svg">
香	<div class=tone1>xiāng</div>	fragrant	186		[sound:香_google_zh-cn.mp3]	<img src="香_img_ancient.svg">
馬	<div class=tone3>mǎ</div>	horse	187	马	[sound:馬_google_zh-cn.mp3]	<img src="馬_img_ancient.svg">
骨	<div class=tone3>gǔ</div>	bone	188		[sound:骨_google_zh-cn.mp3]	<img src="骨_img_ancient.svg">
高	<div class=tone1>gāo</div>	tall, high	189	髙	[sound:高_google_zh-cn.mp3]	<img src="高_img_ancient.svg">
髟	<div class=tone1>biāo</div>	long hair	190		[sound:髟_google_zh-cn.mp3]	<img src="髟_img_ancient.svg">
鬥	<div class=tone4>dòu</div>	fight	191		[sound:鬥_google_zh-cn.mp3]	<img src="鬥_img_ancient.svg">
鬯	<div class=tone4>chàng</div>	herbs, sacrificial wine	192		[sound:鬯_google_zh-cn.mp3]	<img src="鬯_img_ancient.svg">
鬲	<div class=tone4>lì</div>	tripod, cauldron	193		[sound:鬲_google_zh-cn.mp3]	<img src="鬲_img_ancient.svg">
鬼	<div class=tone3>gǔi</div>	ghost, demon	194		[sound:鬼_google_zh-cn.mp3]	<img src="鬼_img_ancient.svg">
魚	<div class=tone2>yú</div>	fish	195	鱼	[sound:魚_google_zh-cn.mp3]	<img src="魚_img_ancient.svg">
鳥	<div class=tone3>niǎo</div>	bird	196	鸟	[sound:鳥_google_zh-cn.mp3]	<img src="鳥_img_ancient.svg">
鹵	<div class=tone3>lǔ</div>	salt	197		[sound:鹵_google_zh-cn.mp3]	<img src="鹵_img_ancient.svg">
鹿	<div class=tone4>lù</div>	deer	198		[sound:鹿_google_zh-cn.mp3]	<img src="鹿_img_ancient.svg">
麥	<div class=tone4>mài</div>	wheat	199	麦	[sound:麥_google_zh-cn.mp3]	<img src="麥_img_ancient.svg">
麻	<div class=tone2>má</div>	hemp, flax	200		[sound:麻_google_zh-cn.mp3]	<img src="麻_img_ancient.svg">
黃	<div class=tone2>huáng</div>	yellow	201	黄	[sound:黃_google_zh-cn.mp3]	<img src="黃_img_ancient.svg">
黍	<div class=tone3>shǔ</div>	millet	202		[sound:黍_google_zh-cn.mp3]	<img src="黍_img_ancient.svg">
黑	<div class=tone1>hēi</div>	black	203	黒	[sound:黑_google_zh-cn.mp3]	<img src="黑_img_ancient.svg">
